bkhafizull@MacBook-Pro-Bari msa-sprint2 % docker ps
CONTAINER ID   IMAGE                             COMMAND                  CREATED              STATUS                        PORTS                                                           NAMES
fbda94c8cc55   task2_booking-history-service     "java -jar app.jar"      About a minute ago   Up About a minute             8081/tcp                                                        booking-history-service
e6e20334ee36   task2_booking-service             "java -jar target/bo…"   About a minute ago   Up About a minute             0.0.0.0:9090->9090/tcp, :::9090->9090/tcp                       booking-service
fbd60ad04e25   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   About a minute ago   Up About a minute             2888/tcp, 0.0.0.0:2181->2181/tcp, :::2181->2181/tcp, 3888/tcp   task2_zookeeper_1
c574792ff812   postgres:15                       "docker-entrypoint.s…"   About a minute ago   Up About a minute             0.0.0.0:5432->5432/tcp, :::5432->5432/tcp                       hotelio-db
217dcd69e0aa   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   About a minute ago   Up About a minute             0.0.0.0:9092->9092/tcp, :::9092->9092/tcp                       task2_kafka_1
7c79272ee6f0   postgres:15                       "docker-entrypoint.s…"   About a minute ago   Up About a minute (healthy)   0.0.0.0:6432->5432/tcp, :::6432->5432/tcp                       booking-db
52576e4cc100   task2_monolith                    "java -jar app.jar"      About a minute ago   Up About a minute             0.0.0.0:8084->8080/tcp, :::8084->8080/tcp                       hotelio-monolith
8e6dfdbd2338   postgres:15                       "docker-entrypoint.s…"   About a minute ago   Up About a minute (healthy)   0.0.0.0:7432->5432/tcp, :::7432->5432/tcp                       booking-history-db
